,Level B ,Level C,
 दळभद्री विचाराचे नाही   अतिशय नालायक वृत्तीचे आहेत  स्वतः दोन कुत्रे पण विचारत नाही दुसऱ्यांना कोण बोलत असेल तर आले टिंगल करायला ,TIN,IND,
 लायकी दाखवलीस  ब्रिगेडी भडव्या. ताकद? तुम्ही लोक शरद पवारच्या   तले… ,TIN,IND,
 कसली मस्त पुच्ची आणि बोचा आहे हीचा  ,TIN,IND,
 एकच मंद गोपीचंद ,TIN,IND,
 विद्यार्थ्यांच्या जीवनाचा खरा बाजार यांनी केला आहे विद्यार्थां चे हीत म्हणू म्हणू मरणाचा तोंडात घातले आ… ,UNT,NULL,
 नविचारता माझाचाटतो वर मलाच बोलतो🤭 झाट वाढली आहे येतो का उपटायला 40पैसे देतो... मी खाउन… ,TIN,IND,
 मराठा आरक्षणाला स्थगिती देण्यात आली आहे यावर विरोधी व सत्ताधारी यांनी चिंतन करण्याची गरज आहे दळभद्री राजकारण सोडा… ,UNT,NULL,
 मुर्खा सारखे नकोतिथे मराठी अस्मितेच्या नावावर फालतू राजकारण करून महाराष्ट्राचे मोठे नुकसान करणार आहेत हे लोक. मग… ,UNT,NULL,
 अर्णब कंगना सारखे लोक मुंबईत येऊन मुंबई कोणाच्या बापाची नाही असे मराठी माणसाला ठणकावून सांगतात आणि त्यांच्या इथे धुणी भांडी… ,TIN,IND,
 अर्ध्या इंचाचा लंड घेऊन तुला पोरं होणारेत व्हय हांडग्या तुझा अर्ध्या इंचाचा उठायचे वांदे आणि गप्पा पोरं काढायची ,TIN,IND,
 देवेद्रजींनी अक्षरशः तोंडात भरवलेला घास या ला गिळता पण आला नही   जो पर्यंत महाराष्ट्र जातीवादाच्या… ,TIN,IND,
 महाराष्ट्राचे माजी मुख्यमंत्री हिंदीत का बोलत आहेत? आपल्या भावना त व्यक्त करण्यास स… ,TIN,IND,
 रंडी साली ,TIN,IND,
 च्यायला वर्क फ्रॉम होम मध्ये पण ऑफिसवाले जीव काढतात...एवढं काम कि स्वतःकडे पण बघायला वेळ नाही.... नशीब लग्न नाही झालं… ,UNT,NULL,
 मला बंगाली भाभी मराठी वहीनीच झवाड्या आवडतात ,UNT,NULL,
 केस सुशांतची होती आणि शेवट कंगणाचे संडास पाडून झाली 🤣 ,UNT,NULL,
 उपी चा गांजा मारून आलिये ही रांड ही रांड आणि देशाची घाण ,TIN,IND,
 हा माणूस गल्लीतच गोट्या खेळू शकतो ते सुद्धा रडीचा डाव खेळून हा माणूस स्वतःची रेघ मोठी करुन नाही तर दुस… ,TIN,IND,
 तुझ्या घरी आला होतो का माझा बाप मादरचौद चल निघ बिहारी..... ,TIN,OTH,
 पोमाणे मादरचोद तुझ्या गांडीतुन लय बेकार धुरर निघणार आहे..तू तेल लावून तयारीत रहा. फेक अ… ,TIN,IND,
 अरे मूर्खा ती तात्काळ मदत होती जरा ज्ञान update ठेवत जा विदर्भात किती मदत गेली आहे त्याची आकडेवारी काढ आणि हो को… ,TIN,IND,
 dj ब्रावो ला काय गोट्या खेळायला घेतलाय. अजून एक ओव्हर नाही. ,TIN,IND,
 मग तुम्ही काय गोट्या खेळात होता का ? ,UNT,NULL,
 तोंडात घान असेल तर दारात पन घाणच होणार तुझ्या. ,TIN,IND,
 साली भांड ,UNT,NULL,
 बावळट त्या फेक आयडी कार्ड वर पोस्टाचा स्टॅम्प नीट बघ.. मुंबई लिहिले आहे तिथे... 1990 मधे मुंबई… ,UNT,NULL,
 दलिंदर पक्ष आणि त्याचे भिकारचोट कार्यकर्ते अजूनही तुम्ही आरक्षण अन समाहितापेक्षा पक्षप्रेमाला महत्व देत असाल तर  तुम्ही… ,TIN,GRP,
 काही दिवसाने हा भिकारचोट लोकल ट्रेन्स मध्ये फाटक्या कपड्यात हेच हार्मोनियम घेऊन गाणार आहे. आता पासूनच practice चालू आहे… ,TIN,IND,
 अरे भिकारचोट मामू  छत्रपतींचा समुद्रातला पुतळा का नाही झाला? त्यांच नाव घ्यायची लायकी नाही तुझी बो… ,TIN,IND,
 हा मंद तू झाला आहेस हे सिध्द झालं आहे..आणि वेडा म्हणून तू अती शहाणा झाला अस वाटत आहे… ,TIN,IND,
 शेनीक मंद आहेत ,UNT,NULL,
 खूप घाण शिव्या येत आहेत आता   या पारभाषिक रांडांची बाजू घेणारे नक्कीच रांड चीच अवलाद असणार ,TIN,OTH,
 च्यायला हो ??  ,UNT,NULL,
 मुर्खा  जिथं खाल्ले तिथच हागणार्याला चपला नको मारायला मग काय आरती ऊतरवायला हवी काय. ,UNT,NULL,
 कंगनाच्या वाजवल्या झांजा... ,TIN,IND,
 तुझ्या आई बहिनिची भाड़ खात आहे रे मि म्हणून म्हणतोस तर बरोबर आहे आज रात्रि तु… ,TIN,IND,
 पुरोगामी नसायला मंद लागत ,UNT,NULL,
 1978 साली नागपट्टणम इथल्या विष्णू मंदिरातून प्रभू श्रीराम  सीता माता आणि लक्ष्मणाच्या प्राचीन आणि अत्यंत सुंदर मुर्ती चो… ,UNT,NULL,
 मंद सैनिकांना हे घंटा माहीत आहे काय कुठे असतं ते बस्स जीभ उचला आणि लावा टाळ्याला 🤦 ,TIN,OTH,
 नशीब काही द ळ भद्री लोक भारत   पाकिस्तान बॉर्डर प्रदेशात राहत नाहीत नाहीतर पाकिस्तानला स्वतःचा बाप देश मानत रस्त्यावर पाकि… ,UNT,NULL,
 रांड आहे ती ,TIN,IND,
 च्यायला अबब माझाची चमचेगिरी पाहून अश्रू येतात राव डोळ्यात काय निष्ठा आहे ,UNT,NULL,
 हे काय पहिल्यांदाच होत नाहीये 90s पासून राम मंदिरासाठी येणाऱ्या पैश्यांवर सगळे भिकारचोट गब्बर झालेत … ,UNT,NULL,
 dslr ने थोबाड जरी चमकवलं तरी  दळभद्री नशीबाचं काय.....?  ,UNT,NULL,
 कुंदन याचा गांडित जळत लाकुड घातल bc हा कोण आहे .बोचा हाण मादरचोद चा याला म्हणा पत्ता दे आयघाल्या… ,TIN,IND,
 महाराष्ट्रातील जनतेला व्हेंटिलेटर  मास्क  पीपीई किट देणार नाहीत पण एका माथेफिरू बाईला y ग्रेड सुरक्षा देणार. ,TIN,OTH,
 मला झाट काय कळले नाय  ,UNT,NULL,
 अरे मुर्खा इथे सगळे शिवसैनिक नाहीत इथे ते पण लोक आहे जे महाराष्ट्रावर आपल्या जन्मभूमि वर… ,TIN,IND,
 शिवसेनेच्या लफड्यात काँग्रेसची लागली   हिमाचलमधील अनधिकृत बं… ,UNT,NULL,
 थोडी मनाची वाटत कशी नाही राऊत साहेब? खुशाल असल्या दळभद्री हल्ल्याला उस्फुर्त प्रतिक्रिया म्हणून नाव… ,TIN,IND,
 मुळात मराठी ट्विटर ला कीड लागलीये ती तुझ्यासारख्या लोकांमुळे. ,TIN,IND,
 ह्याच सेनेनी तुझ्या बापाला पण मोठा केला विसरला का रे मूर्खा ,TIN,IND,
 च्यायला आता सोशल मीडिया वर काही पण पोस्ट केलं किंवा लाईक वगैरे केलं तर असं वाटतं की आपण त्या आपल्या मोबाईल स्क्रीन… ,UNT,NULL,
 गोट्या कितीहि मोठ्या झाल्या तरी त्या ल  ड्याच्या खाली असतात 1980 ला स्थापन झालेल्या गोट्याने माज दा… ,UNT,NULL,
 भक्ताची दळभद्री शेरणी केंद्राची y+ सुरक्षा घेवून पण मागच्या दारानी पळाली  ..भक्तानो कसली तुमची शेरणी .… ,TIN,IND,
 ओठांवर काळी पट्टों लावण्यापेक्षा तु तोंडच का नही काळ करत मंद बुद्धी भोसडीच्या. तुला फासीझम चा अर्थ कळ… ,TIN,IND,
 मला वाटले की माझ्या ex नंतर अजून दुसरी जगात कोणीच नसेल.. . . . . मग मी कंगना ला बघितले   आणि माझ्या मनातील… ,TIN,IND,
 तुजाई रांड साली तिच्या ईचा दाणा  तुझा बाप शटउपट्या  लवंडू साला ,TIN,IND,
 उठलास काय रे हरामखोर ते मस्तीखोर आता पटा पटा हग बोचा नीट पणे धू आणी गफूरउद्दीन चा शायरी चोर अण दे… ,TIN,IND,
 एलिझाबैथ व्हय तु?? कुठली राणी ? का पप्पू खानचा लवडा चोळनारी ,TIN,IND,
 टाकला मामुच्या तोंडात..🥴 ,UNT,NULL,
 काही सांगू शकत नाही ह्या मंद सैनिकांचं  आज सकाळी काही ज्येष्ठ लोकं भेटले मॉर्निंग वॉक ला ज्यांना खात्री… ,TIN,OTH,
 चोम्या ते मोराला दाणे घालणाऱ्या बावळट माणसाला शिकव आधी ,TIN,IND,
 नक्कीच भाऊ महाराष्ट्रात फक्त मराठीच वापरली गेली पाहिजे आणि पर्यायाने इंग्रजी… ,UNT,NULL,
 पोरी पळव्या राम्या kon lagto re आईघाल्या तु सांगणार का ,TIN,IND,
 आईघाल्या काय बडबडला काहीच नाही कळलं   🤣 चूहे हो  म्हणे   आणि त्यांनीच 105 घरी बसवले 🤣🤣 ,TIN,IND,
 मधेच फोनं डिसकनेक्ट व्हायलेत अन हे  व्ही व्ही  करत दिवसभर डोक्याचा भुगा करायलेत. अहो  जाहिरातीला एवढा खर्चा करण्यापेक्षा… ,TIN,IND,
 ए अर्धवट  काय वटवट लावली आहेस उगाच? विदर्भात किती… ,TIN,IND,
 फक्त  ब्राह्मण  म्हणून त्यांना विरोध करणारे  फडणवीस तुमच्या कडे आरक्षण मागतोय तुमची बायको नाही अश्या खालच्या लेव्हल… ,TIN,IND,
 वाद कोणताही असो या चु   ना शिवाजी महाराजांचे नाव घेतल्या शिवाय करमतच नाही.... … ,TIN,IND,
 सहमत  वैचारिक दळभद्री पण नुसता ,UNT,NULL,
 यांना कोण सांगणार हो .. मूर्खा बरोबर वादविवाद आपल्याला मूर्ख बनवतात  आपण यांची… ,UNT,NULL,
 खंडू  अहो... ते पुढच्या सरकारमध्ये मला पाकीट मिळेल ना... ? काक  मूर्खा हे सरकार टिकवायची गरज आहे... पळ तिकडे ,UNT,NULL,
 प्रवासात असतांना त्याने चड्डीच्या वरून पॅन्ट सुद्धा लावला होता.. पण  पादला बिचारा  वायरस ने सर्वांच्या नाकात… ,TIN,IND,
 चहा झाला थंड कुशल माझा लंड आहे ते  ,UNT,NULL,
 मुर्खा कंगना सोनियाला रिप्लेस करायला आली आहे .. 🤣 कसला डोमल्याचा टीव्ही पॅनलिस्ट तू 🤔 ,TIN,IND,
 मंद बुद्धीचे प्राणी फार भटकत आहेत.जरा तोंडाला लगाम लावा. जातीयवादी बोलण्यापेक्षा मराठा समाजाला पाठींबा द्या.… ,TIN,IND,
 तुम्ही त्या भिकारचोट कंगना साठी उठसूट आमच्या राजाचं नाव मध्ये आणू नका. असं ओण तुम्हा उ… ,TIN,IND,
 तू तोंड मडक्यात घालून बोलत आहेस का मंद माणसा...2014 ला लाचारी केली होती काँग्रेस कडे… ,TIN,IND,
 निल्या तु लहान आहेस अजुन तुझ्या मापाची हाफ चड्डी बनली नाय म्हणुन तु आपल्या गोट्या गोट्या खेळ नसल्या त्या उचापात्या नको… ,TIN,IND,
 आबे चोम्या दाणे टाकण्या पेक्षा पत्रकार परिषद का नाही घेतली बावळट… ,TIN,IND,
 भडव्या whatsapp वरच ऐकून इथ हेपलू नको. राजघटना  संविधान   सरकारी नियम वाचत जा. गु… ,TIN,IND,
 च्यायला हे येडझवेच आहे वाटत विरोधी पक्ष नेता म्हणून भाव दिला तरी रडतय नाही दिला तरी रडतात साले ,TIN,OTH,
 बेकायदा ऑफिस तोडलं आहे कंगनाचं आणि चवताळलेत खाल्या मिठाला तरी जागा रे डुप्लिकेट बिहाऱ्यांनो. जय ,TIN,OTH,
 काहीजण  जात  लिहताना  शुद्ध  असा शब्द वापरतात जसे काय सर्फ एक्सेल वापरून जात धुतलेली असते. तुमची ती शुद्ध आणि बाकीच्यां… ,UNT,NULL,
 झवू देस का रांड ,UNT,NULL,
  अरे कसा रे तू इतका मंद हींदिचा चाटूकार  मंदबुद्धीमधे तुम्ही भैय्ये लोक भारतात सर्वात पुढे  amp  इत… ,TIN,OTH,
 आमाला पण बोलव कधी तरी तूझ्या भोकात लवडा घालायला ,TIN,IND,
 उद्धव ठाकरे यांना एकेरी संबोधलं म्हणून हक्कभंग आणल्या जातो मग फडणवीस मुख्यमंत्री असताना त्यांना शरीरावरुन विरोधक टरबूज… ,TIN,NULL,?
 च्यायला राजभवन हे टपरिवर सिगरेट पिण्या सारख झालय ...  कुणी ही उठत न जात .🤣🤣 ,UNT,NULL,
 b  भाड्याची m  मादरचोद c  कॉर्पोरेशन ,TIN,GRP,
 बेड्स मिळत नसल्याने .... ?? सगळी जंबो सेंटर फक्त गोट्या खेळायला उभी केली आहेत का ? पासून… ,UNT,NULL,
 राऊत कंगनाला हरामखोर म्हणाले  कंगना तुम्हाला बाबर म्हणाली. जशास तसे  तुम्ही तर तोंडात विष घेऊन सतत भुंकत असता मग आ… ,TIN,IND,
 महा नालायक ,UNT,NULL,
 कारे चोक्या  गेल्या का गोट्या कपाळात तुज्या दलिंदर आणि दलाल कुत्रकार आहे तू ,TIN,IND,
 अरे दळभद्री कुत्र्यांनो त्याचा १० वर्षे जुना फोटो पोस्ट करून त्याला इंनोसेन्ट दाखवायचा प्रयत्न करू नका..… ,TIN,GRP,?
 तू नको मला शिकवू महाराष्ट्र कसा लिहायचं  आणि तुजसारखे म… ,TIN,IND,
 तुजाईचे बॉल तर लई चाटले आहे पोरांनी  जाऊन पाय जखमा झ्हा… ,TIN,IND,
 मूर्खा  मग मी मुंबईत काम करतो आणि मी बोलायला घाबरतो असं कशाला लिहिलं? मग चिकटपट्टी भुंड्याला लावायची ना ,TIN,IND,
 मग महा विकास आघाडी सरकार काय गोट्या खेळत होता ला त्यांना सगळं तपास… ,TIN,GRP,
 सर लवडा लसूण म्हणायचय का तुम्हाला  ,TIN,IND,
 काही मोजकी मराठी न्यूज चॅनल वगळता राष्ट्रीय स्तरावरील बहुतेक सर्व न्यूज चॅनल उद्धवाच्या तोंडात अक्षरशः शेण घालत आहे… ,UNT,NULL,
 अग झवाड़े आई या शब्दला का कलंक लावते तुझ्या पुचीला एवडीच खाज आहे तर रंडी खान्यात जा ना उगाच कशाला त्या… ,TIN,IND,
 हो का गोट्या चोळ्या भाई  ,TIN,IND,
 भंगार केंद्र सरकार आनं त्यांच गटार राजकारण. झाट काय सापडतय कारण आत्महत्येत काय सापडन्यासारख नाहीच. ,TIN,GRP,
 आईझवाड्या  ही पत्रकार परिषद होती का? रश्मीच्या पल्लूमध्ये गप्प बसणे. ,TIN,IND,
 मराठ्यांचा एक पण मत दळभद्री भाजपला जाणार नाही. ,TIN,GRP,
 आरक्षण मागतोय बायको नाही म्हटल्यानंतर सुद्धा चाकर अक्षर न काढणारे फडणवीस आणि भाजप कुठे आणि हे विद्यमान दळभद्री कुठे. ,TIN,IND,
 वर राजकारण करून नेते झालेली सोशील कुत्री  बहुतेक थोरल्या सायेबाचं लेंडूक तोंडात गिळून गप्प आहेत. ,,NULL,?
 तुझ्या गांडित केळ घातल भेन्चोद तुझ्या शेट काय झिंनपिंग तोंडात… ,TIN,IND,
 तो एक झाट्या आहेच. पूरग्रस्त लोकांना फक्त १६ करोड चे पॅकेज देऊन आपला विदर्भद्वेष दाखवलाच.… ,TIN,IND,
 मूर्खा मुंबईत नाव आणि पैसा कमवत आहे तरी एवढी मराठी नाही येत तुला गाढ़वा। ,TIN,IND,
 काय रे भडव्या आमच्या सातार्यात सहजवारी भडव्या म्हणतात ,TIN,IND,
 अरे मुर्खा संजय राऊत  नालायका  इतका तुला सत्तेचा माज. तु mp आ… ,TIN,IND,
 दळभद्री सरकार. बट्याबोळ कारभार ,TIN,GRP,
 च्यायला हे काय बे टोळी मुकादम म्हणजे ?  ,UNT,NULL,
 फक्त टीआरपी हेच प्राधान्य  तोच खरा धंदा. पहिला नंबर कोणाचा ह्याचसाठी अट्टहास  बाकी सगळं फाट्यावर. लोकांना ही अक्कल नाहीत  हे… ,UNT,NULL,
 अरे भुरट्या लाचार गुलाम माणसा फसवे आरक्षण आघाडी सरकार ने २०१४ मध्ये दिले होते ..फडणवीस सरकारने जे आरक्ष… ,TIN,IND,
 रोज येतो इथे बावळट ,TIN,IND,
 भाजपचं दळभद्री राजकारण. ,TIN,GRP,
 last song for एक दिन मर जायेगा कुत्ते की मोत जग में कहेंगे मर गया मादरचोद ला ला ला ला ला… ,TIN,IND,
 आता तुला आरक्षणाचे साधे फायदे समजत नाहीत हे पाहून बाहेरचे लोक समजून घेणार किती मंद लोक आहेत महारा… ,TIN,IND,
 122 तेव्हा काय गांडीत खुंटा घालून बसले होते का तेव्हा पण हिजडे आणि आताचे 105 पण हिजडे… ,UNT,NULL,
 मुर्खा  तुला जर मराठी समजत नसेल तर बडबड करत जाऊ नको. ,TIN,IND,
 पूर्व लडाखमधील मुखपरी येथे प्रत्यक्ष ताबारेषेजवळ सोमवारी जमलेले चिनी सैन्य. भाले  लोखंडी शिगा आ… ,,NULL,
 पाटलीनी चा बोचा पहिला आता झोप येईल ,TIN,IND,
 तुझी औकात नाहीए बावळट पोरी   महाराजांचा एवढा अपमान आणी आपलीच मराठी भय्ये सपोर्ट पण करताय. दुर्दैव आपलं ,TIN,IND,
 च्यायला सत्तरावा लाईक माझा होता  ,UNT,NULL,
 भाऊ लावडा  बाप लसूण  मामा आंड  काका गोट्या भले असेल त्याचा आमच्या सारख्या सा… ,UNT,NULL,
 भिकारचोट जरा डोळे उघडून बोल ,TIN,IND,
 ज्या भिकारचोट माणसाला बुलेटवरून दूध रतीब घालणाऱ्या माझ्या प्रिय आमदाराने राजदंड उचलून मग कानाखाली लावली होती  तो भडवा मा… ,TIN,IND,
 ही असं जर इतर तमिळनाडू कर्नाटक राज्यात बोलली असती तर... तिथले लोकच रस्त्यात धरून तुकडे तुकडे केले अस… ,TIN,IND,
 अरे भिकारचोट कुत्र्यांनो स्वतःच्या राज्यात तुम्हाला काम मिळत नाहीत कामाची भीक मागत इथे मुंबई ला ये… ,TIN,GRP,
 अरे भुरट्या लाचार गुलाम माणसा फसवे आरक्षण आघाडी सरकार ने २०१४ मध्ये दिले होते ..फडणवीस सरकारने जे आरक्षण… ,TIN,IND,
 ह्या ताई अगदीच बावळट आणि मागासलेल्या आहेत . हा जमाना आणि चा. केबल के बल बाते मत करो  ,TIN,IND,
 राम कदम वागण्यात नाही तर बोलण्यात चुकले…bjp मग अजित दादा कुठे तुमच्या तोंडात मूतले होते 🤣 ,TIN,IND,
 अतिशय दळभद्री भिकारी आघाडी सरकार  ,TIN,GRP,
 बघा  गोबरभक्तांची झाशीची राणी चपला घालून देवाच्या पाया पडतेय. यावर सगळे गोबरछाप तोंडात बोळे कोंबून बसतील. ,TIN,IND,
 अरे माझे मत तुला पटत नसेल तर मी काय करू   मला तो बावळट वाटतो त्यात माझा काय दोष  तू त्या शिव ला विचार ना  ,TIN,IND,
 तो गोट्या खेळतो फक्त आता. ,TIN,IND,
 असतात काही दळभद्री नीच प्रवृत्तीची मुलं... ,UNT,NULL,
 च्यायला नाव पण आपले नाही यांचे.. ,UNT,NULL,
 आणि त्या दक्षिण भारतातील लोकांचे विचार एकदम बावळट आहे  त्याना त्याचा स्वतंत्र्य देश पाहि… ,TIN,GRP,
 स्वतःच्या तोंडात ही थोडा स्प्रे मारून घे म्हणावं. किडे मरतील आतले. आणि उरल तर त्या… ,TIN,IND,
 अरे भडव्या आधी निट मराठी लिहायला शिक ,TIN,IND,
 आपलं सरकार होत  त्यावेळी गोट्या खेळत होता का ?  ,TIN,IND,
 भिकारचोट मराठी मी… ,TIN,IND,
 च्यायला कसला आनंद ह्या बाईं ला? अरे तो मर्चेंट नेवी मधे असला तरी त्याला मनुष्य तरी समझता कि नाही? का… ,TIN,IND,
 ह्यांचीच इच्छा नाही  नुसते भिकारचोट वकिली पॉईंट  झारीतील शुक्र  बाकीच्यांचे म्हणजे  साहेब     मामू   … ,,NULL,?
 हा ट्विट पोहचू द्या कंगना पर्यंत छत्रपती शिवरायांच्या महाराष्ट्राला बोलते ही हरामखोर तुझी नक्की जळाली असेलच ,TIN,IND,
 तिला काही बोलायच्या लायकीची तरी राहिली का ती आता च्यायला काही पन बकवास करत आहे रोज… ,TIN,IND,
 भारी लुक्का सावंत  अशी अनेक पालुपदं आहेत या गुलामा साठी सतरंजी उचल्या भिकारचोट लुगडी धुणारा  पप्पू चा पप्पू ......... ,TIN,IND,
 निर्लल्जपणे संजय राऊत थेट देशाचे सीमेवर रक्षण करणाऱ्या जवानांना तंबाकू चोळत होता का असा प्रश्न समा… ,TIN,IND,
 दळभद्री भिकारी आघाडी सरकार चा धिक्कार असो ,TIN,GRP,
 भाषिक चित्रपट कलाकार कधी हिंदीची गुलामी सोडून असं आपल्या ने… ,UNT,NULL,
 अर त्या घंटा नाद आंदोलनाचे पुढं काय झालं रे .....  का अमित शहांच्या आदेशावरून सगळे त्या कंगणाला सिक्योरिटी दयायला गे… ,UNT,NULL,
 भक्तांची आधुनिक झासी कंगना रानावत हिचे झाशीच्या राणी बद्दलच वक्तव्य बघा   तुम्हाला लाज वाटायला पाहिजे   दळभद्री बिं… ,TIN,OTH,
 जेव्हा करिष्मा भोसले ला मशीद च्या लाऊडस्पिकर च्या वादा वरून अबू आझमी सारखा नीच मुसल… ,TIN,IND,
 माझं सोड तू होतास ना तेव्हा मग काय उपटलीस तू?? कोणी कुठला विषय बोल… ,TIN,IND,
  सीता साली सावित्री सरहज ,TIN,IND,
 मुम्बई मधे तुम्ही तरी काय करुन दाखवले.झाट सुधा नाही दर वर्षी पावसाळा आला की तुम्ही केलेली… ,TIN,OTH,
 हो कौस्तुभ हा naughty आहे। घंटा उखाड म्हणा आपलं च्यायला मी खूप रागात आहे । ,TIN,IND,
 कोणी ही बावळट माहिती पसरवली आहे माहिती नाही. त्या दर वेळेस बेंगलोर मधे राघवेंद्र स्वामी मठात आराधनेकरता से… ,TIN,IND,
 भक्तांवर आज अशी वेळ आलेली आहे की उद्या दाऊद इब्राहिम पण मुंबई महाराष्ट्र विरोधात बोला तर ये मंद त्याला पण पप्पा पप्पा बोलायला… ,TIN,GRP,
 त्यांच्यापेक्षा त्यांचे नेते जास्त मंद आहेत. ,TIN,OTH,
 एक बाईने तुमच्या तोंडात शेण घातले ते बघ आधी. मुलीच्या फोटोला चप्पल मारतात  डॉनच्या धमकीवर शेपूट घालून घरात बसतात आणि ग… ,TIN,GRP,
 कोरोनाचे बघा आता... नाहीतर लोक शेण घालतील तुमच्या तोंडात  ,TIN,OTH,?
 बेअक्कल भक्तांना अजुन सुध्दा वाटतंय की ला याचा मोबदला द्यावा लागेल असं  अरे भक्तांडानो ते अनधिकृ… ,TIN,GRP,
 दळभद्री लोक नकोच बर झाल गेल बिहार ला. ,UNT,NULL,
 बिनबुडाचे अंड भक्त.. मूड पण नाय होत b........च बोलायला भक्तान बरोबर... ,TIN,GRP,
 आधी माझ्या प्रश्नाचं उत्तर दे मंद... मदन शर्मा कोण होते? ,TIN,IND,
 अरे पहिला स्वत चा बोचा धुवायला शिक लवडु..तुझी लायकी काय आहे ते माहित आहे ,TIN,IND,
 तुम्ही कंगनाच काय घेऊन बसलात जर मुंबई महानगरपालिकाने प्रत्येक ठिकाणी कारवाई केली तर तुम्ही झाटु लोकं मुंबईत राहु पण… ,TIN,GRP,
 मंत्री महोदय आपण गेलात तर परभणी ची पन दळभद्रि अवस्था पहावी.. ,TIN,IND,
 राम कदम वागण्यात चुकले नाहीत  तर बोलण्यात चुकले..    भाजपा मग अजित दादा तरी काय तोंडात मुतले होते का...… ,TIN,IND,
 गप रे ❤ड्या आमचं आरक्षण तुमच्या मुळे रद्द झालं तुमच्या आइच्या भाऊ खात केळं आइ खवे चु… ,TIN,IND,
 आईघाल्या फोन काय करतो. हिजडा समोर ये तुझी औकात दाखवतो. ,TIN,IND,
 नाही तेवढं नाही जमणार बाकी सगळे मंद आम्ही हुशार  ,TIN,IND,
 आई झवाड्या ,TIN,IND,
 bc काय च्यायला...काय चाललंय काय.. ,UNT,NULL,
 हिटलर भाजप च्या गोटया चोळ्या 🤣 हिच काम कर हिजड्या गिरी ची ,TIN,IND,
 आरे ही रांड का एवढी भरी आहे का रे  bc कोण पण ह्याचं च सुरू आहे  आरे तुमचं चाललाय तरी काय नुसते गांदू धंदे ,UNT,NULL,
 कोणत्याही succesful रिलेशनशिप मध्ये सुंदर दिसणं खूप महत्वाचं असतं...? 🤐🤐 ,,NULL,?
 हे वाचा गाढवांनो. आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने 2008 साली काय करार केला चीनी कम्युनिस्ट पक्षा… ,TIN,IND,
 लंड फकीर ,UNT,NULL,
 तू  आणि तुझी भाजप तेव्हा काय गोट्या खेळत होता काय? का रे वाघ्या  हिंदुत्ववादी आहात ना… ,TIN,IND,
 ए अर्धवट  काय वटवट लावली आहेस उगाच? विदर्भात किती जिल्हे… ,TIN,IND,
 काय रे भाजपच्या गोटया कशाला खाजवत बसतो  तुला वाटत नाही का तु जास्तच सेफारला आहे. आमिरखानच्या बायको बदल काय… ,TIN,IND,
 अरे रांडेच्या  तू pok भारतात आहे म्हणतो ना चल pok ची ट्रिप arrange कर लोकांसाठी मी माझं नाव देतो प… ,TIN,IND,
